sentence,labels
"Marijuana is already believed to be the nation ' s number one cash crop , exceeding the combined value of wheat and corn .",['NATIONAL_BUDGET']
"According to press reports , supporters of the California initiative estimate that about $ 15-billion worth of marijuana is sold every year in the state – thus , an excise tax on the retail sales of marijuana would likely raise at least $ 1.3 billion a year in revenue .",['NATIONAL_BUDGET']
"In 2000 , there were six times as many emergency room mentions of marijuana use as there were in 1990 , despite the fact that the number of people using marijuana is roughly the same .",['HARM']
She claims they do more harm than good .,['HARM']
Even legal substances like pizza and donuts can be harmful to a person if not consumed in moderation .,['HARM']
"Drug Free Australia argues that distinctions between "" soft "" and "" hard "" drugs are entirely artificial , and titling cannabis "" soft "" or ecstasy "" recreational "" does not lessen the extensive harms of these substances .",['HARM']
"“ What we know is the THC , the psychoactive component of marijuana , back in the 60 ’s and 70 ’s was less than 1 % .",['HARM']
"Hemp , which is a special cultivar of Cannabis Sativa , does not have significant amounts of psychoactive ( THC ) substances in it , less than 1 % .",['HARM']
"The use of illicit drugs has been prohibited internationally since 1912 , an entire century , because of international agreement that the general community has a greater right to protect itself from the harms of illicit drug use than does an individual user to use a harmful substance recreationally .",['HARM']
"Anybody who ' s experienced it , actually been addicted to it , knows how profound that addiction is ... . The difficult thing about marijuana addiction is some people , even though they ' re addicted can do fine with it for many many years before they start to have difficultly , but eventually the high starts wearing off , people start smoking a lot more to try to get that high back and that ' s when they descend into difficulties .",['ADDICTION']
It is extremely addictive ... for some people .,['ADDICTION']
Research suggests as many as 10 % of users will develop dependence over time .,['ADDICTION']
""" [ ... ] "" As is the case with alcohol addiction , illicit drug addictions likewise serve to keep many such users functionally in poverty and often as a continued burden on friends , family and society .",['ADDICTION']
"First , marijuana is far more likely to cause addiction .",['ADDICTION']
"Addiction treatment specialists , however , have seen firsthand that long term use does lead to marijuana addiction .",['ADDICTION']
"A marijuana withdrawal syndrome occurs , consisting of anxiety , depression , sleep and appetite disturbances , irritability , tremors , diaphoresis , nausea , muscle convulsions , and restlessness .",['ADDICTION']
Even the gateway effect — the theory that cannabis leads to other drugs — was discarded long ago .,['GATEWAY_DRUG']
"Not surprisingly , most users of other illicit drugs have used marijuana first .",['GATEWAY_DRUG']
There is no conclusive evidence that the drug effects of marijuana are causally linked to the subsequent abuse of other illicit drugs .,['GATEWAY_DRUG']
Studies show that marijuana use often progresses to the use of harder drugs .,['GATEWAY_DRUG']
"Then , after using it for a while , a bigger "" high "" is sought ; thus , users then turn to the harder stuff like heroin , LSD , cocaine , etc .",['GATEWAY_DRUG']
"Do we move on from there to Crack , Heroin or Meth ?",['GATEWAY_DRUG']
Research even suggests that its use might be linked to a higher risk of prescription drug use .,['GATEWAY_DRUG']
"But through legalization , there will be open competition and lower prices , so drug cartels , which might include terrorists , would lose some or even all of their business .",['ILLEGAL_TRADE']
"Drug decriminalization would remove the "" glamorous Al Capone-type traffickers who are role-models for the young "" .",['ILLEGAL_TRADE']
States can tax users to deter consumption — though not so much as to make consumers turn first to the untaxed black market .,['ILLEGAL_TRADE']
"Nor does anyone really believe that the gangs will subject themselves to state and local regulation , including taxation .",['ILLEGAL_TRADE']
This has created a new black market and decreased property values .,['ILLEGAL_TRADE']
"Due to the absence of competition and high street prices , they are making enormous sums of money .",['ILLEGAL_TRADE']
"When a person buys weed off the street , there is no way he would exactly know what dangerous substances are cut into it .",['ILLEGAL_TRADE']
"Even smoking weed at home will allow the drug to make its way to others , especially if it is a multi-level apartment complex .",['PERSONAL_FREEDOM']
Limiting the use of the drug intrudes on personal freedom .,['PERSONAL_FREEDOM']
A national telephone survey conducted in 1993 found that between 52 % and 55 % of Australians believed that growing and possessing cannabis for personal use should be legalised .,['PERSONAL_FREEDOM']
Public places like bars would expose innocent patrons .,['PERSONAL_FREEDOM']
But private spaces are another matter .,['PERSONAL_FREEDOM']
Common sense tells us that more widespread usage of marijuana increases the likelihood that other people would suffer the damage of inhaling other people ' s smoke .,['PERSONAL_FREEDOM']
"The City Council of Chico , California , has released a report detailing the situation and describing how citizens living near marijuana cultivators are disturbed by the incredible stink emanating from the plants .",['PERSONAL_FREEDOM']
